date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:34	1251/1251	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2012:29:41%20GMT	https://pginbangalore.com/ABCPG/assets/css/owl.video.play.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/owl.video.play.html	(from https://pginbangalore.com/ABCPG/assets/css/owl.carousel.min.css)
14:40:35	25236/25236	---M--	200	added ('OK')	font/woff2	date:Fri,%2007%20Feb%202025%2012:32:55%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-regular-400.woff2	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-regular-400.woff2	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:35	186124/186124	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202025%2012:32:35%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-brands-400.ttf	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-brands-400.ttf	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:36	62320/62320	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202025%2012:32:50%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-regular-400.ttf	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-regular-400.ttf	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:37	4568/4568	---M--	200	added ('OK')	font/woff2	date:Fri,%2007%20Feb%202025%2012:33:18%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-v4compatibility.woff2	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-v4compatibility.woff2	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:37	150516/150516	---M--	200	added ('OK')	font/woff2	date:Fri,%2007%20Feb%202025%2012:33:10%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-solid-900.woff2	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-solid-900.woff2	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:37	397420/397420	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202025%2012:33:05%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-solid-900.ttf	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-solid-900.ttf	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:37	10140/10140	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202025%2012:33:14%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-v4compatibility.ttf	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-v4compatibility.ttf	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:37	6104/6104	---M--	200	added ('OK')	font/woff2	date:Fri,%2007%20Feb%202025%2012:34:30%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e38.woff2?d55f86a22933602e196e1a23838b4151	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e380e38.woff2	(from https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css)
14:40:38	7252/7252	---M--	200	added ('OK')	font/woff	date:Fri,%2007%20Feb%202025%2012:34:27%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e38.woff?d55f86a22933602e196e1a23838b4151	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e380e38.woff	(from https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css)
14:40:38	12180/12180	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2007%20Feb%202025%2012:34:16%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e38.eot?d55f86a22933602e196e1a23838b4151	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e380e38.eot	(from https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css)
14:40:38	11960/11960	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2007%20Feb%202025%2012:34:23%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e38.ttf?d55f86a22933602e196e1a23838b4151	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e380e38.ttf	(from https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css)
14:40:38	107656/107656	---M--	200	added ('OK')	font/woff2	date:Fri,%2007%20Feb%202025%2012:32:43%20GMT	https://pginbangalore.com/ABCPG/assets/fonts/fa-brands-400.woff2	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/fonts/fa-brands-400.woff2	(from https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css)
14:40:39	588/588	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Feb%202025%2012:36:35%20GMT	https://pginbangalore.com/ABCPG/assets/img/down-arrow.svg	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/down-arrow.svg	(from https://pginbangalore.com/ABCPG/assets/css/style.css)
14:40:39	81612/81612	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Feb%202025%2012:34:20%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e38.svg?d55f86a22933602e196e1a23838b4151	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection0e380e38.svg	(from https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css)
